City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,krasnogorskoye,52.2953,86.1979,3.96,94,100,4.67,RU,1678225074
133,tarko-sale,64.9225,77.785,-29.34,99,32,5.11,RU,1678225074
134,kropotkin,45.4375,40.5756,4.35,73,20,4.04,RU,1678225074
135,lompoc,34.6391,-120.4579,17.61,66,20,7.2,US,1678225075
136,saint-augustin,51.226,-58.6502,2.2,96,100,8.99,CA,1678225075
137,irbil,36.1926,44.0106,9.9,53,0,1.54,IQ,1678225075
138,khasan,42.4308,130.6434,5.52,54,100,5.95,RU,1678225076
139,mataura,-46.1927,168.8643,21.39,56,23,1.86,NZ,1678225076
140,chauk,20.8833,94.8167,24.64,45,12,1.4,MM,1678225076
141,broken hill,-31.95,141.4333,15.33,59,0,3.76,AU,1678225077
142,mar del plata,-38.0023,-57.5575,25.01,77,40,4.63,AR,1678224947
143,georgetown,5.4112,100.3354,26.96,78,20,3.09,MY,1678225034
144,clyde river,70.4692,-68.5914,-9.87,79,75,10.29,CA,1678225077
145,nanchong,30.7951,106.0847,13.91,91,100,1.01,CN,1678225078
146,ponta do sol,32.6667,-17.1,19.84,82,98,2.35,PT,1678225078
147,fria,10.4167,-13.5833,24.01,70,93,0.88,GN,1678225078
148,santa rosalia,27.3167,-112.2833,19.89,38,95,1.62,MX,1678225079
149,yessentuki,44.0444,42.8606,1.05,73,96,1.73,RU,1678225079
150,puerto ayora,-0.7393,-90.3518,28.98,91,100,4.02,EC,1678225079
151,castro,-24.7911,-50.0119,19.42,81,83,2.61,BR,1678224879
152,saint-francois,46.4154,3.9054,1.65,90,0,1.54,FR,1678225080
153,umba,66.6871,34.3429,-10.92,95,100,3.65,RU,1678225080
154,kodiak,57.79,-152.4072,2.73,70,0,2.06,US,1678225081
155,half moon bay,37.4636,-122.4286,14.33,58,0,5.14,US,1678225081
156,new norfolk,-42.7826,147.0587,10.51,72,86,2.68,AU,1678225082
157,ostrovnoy,68.0531,39.5131,-13.86,95,97,2.34,RU,1678225001
158,troitsko-pechorsk,62.7084,56.1964,-13.68,89,100,2.28,RU,1678225082
159,tual,-5.6667,132.75,28.07,78,88,7.33,ID,1678225082
160,kuusamo,65.9667,29.1833,-14.98,85,100,2.06,FI,1678225083
161,watertown,42.3709,-71.1828,2.75,61,100,8.05,US,1678225011
162,sangar,63.9242,127.4739,-35.71,100,99,0.34,RU,1678225083
163,abbeville,50.1,1.8333,4.71,99,100,2.67,FR,1678225084
164,keti bandar,24.1447,67.4497,23.53,74,0,2.54,PK,1678225084
165,fort nelson,58.8053,-122.7002,-12.25,56,100,1.34,CA,1678225085
166,faanui,-16.4833,-151.75,27.79,73,96,6.26,PF,1678225085
167,aras,42.5617,-2.356,11.53,81,20,0.51,ES,1678225085
168,hobyo,5.3505,48.5268,25.85,76,28,6.82,SO,1678225086
169,amapa,1.0,-52.0,22.39,98,95,1.11,BR,1678225086
170,wilmington,34.2257,-77.9447,27.95,20,0,10.8,US,1678224998
171,urozhaynoye,44.7883,44.9228,2.5,62,45,4.14,RU,1678225087
172,san isidro,-12.1167,-77.05,27.77,61,0,4.63,PE,1678225087
173,bubaque,11.2833,-15.8333,25.02,71,98,8.07,GW,1678225087
174,gourcy,13.2167,-2.35,28.5,9,100,4.99,BF,1678225088
175,xiaoshi,41.2971,124.1209,3.49,87,91,1.25,CN,1678225088
176,saint george,37.1041,-113.5841,14.97,33,0,2.06,US,1678225050
177,puerto carreno,6.189,-67.4859,35.99,36,40,2.06,CO,1678225089
178,spas,48.8899,24.0629,1.56,78,96,2.97,UA,1678225089
179,mineiros,-17.5694,-52.5511,22.75,86,30,0.87,BR,1678225090
180,houma,29.5958,-90.7195,28.9,72,44,2.24,US,1678224939
181,kruisfontein,-34.0033,24.7314,18.75,95,88,4.7,ZA,1678225090
182,porto novo,6.4965,2.6036,28.9,79,95,3.24,BJ,1678225091
183,sungaipenuh,-2.0833,101.3833,17.85,96,77,1.51,ID,1678225091
184,tayu,-6.5397,111.0518,24.0,89,95,1.7,ID,1678225091
185,gunjur,13.2019,-16.7339,27.04,44,0,3.09,GM,1678225092
186,sarwar,26.0667,75.0,20.58,39,55,2.52,IN,1678225092
187,arman,59.7,150.1667,-22.93,96,72,2.76,RU,1678225093
188,tambopata,-12.7333,-69.1833,31.94,51,20,3.09,PE,1678225093
189,merrill,45.1805,-89.6835,6.43,41,0,2.57,US,1678225093
190,marawi,7.9986,124.2928,19.86,97,75,0.69,PH,1678225094
191,barranca,-10.75,-77.7667,25.22,68,100,3.01,PE,1678225094
192,atbasar,51.8,68.3333,-4.45,88,97,8.38,KZ,1678225095
